rt,recall,stimuli,distance,accuracy,set_size,trial_type,trial_index,time_elapsed,internal_node_id
2394,"14,2,9","14,2,9","0,0,0",3,3,spatial-span-recall,13,13430,0.0-4.0-1.0
4456,"14,15,8,6","14,15,8,10","0,0,0,1",3,4,spatial-span-recall,27,27147,0.0-4.0-1.1
2855,"2,6,10","14,3,10,9","3,1.414,0,NaN",1,4,spatial-span-recall,41,39198,0.0-4.0-1.2
2784,"12,5,6,0,9","12,5,6,0,9","0,0,0,0,0",5,5,spatial-span-recall,58,54459,0.0-4.0-1.3
4946,"4,9,7","4,9,7","0,0,0",3,3,spatial-span-recall,69,66448,0.0-4.0-1.4
2367,"14,8,5","11,8,5","1.414,0,0",2,3,spatial-span-recall,80,75613,0.0-4.0-1.5
