rt,recall,stimuli,accuracy,set_size,trial_type,trial_index,time_elapsed,internal_node_id
1906,"14,13,8","3,2,3,1,2,0",3,3,spatial-span-recall,10,25691,0.0-3.0-1.0-1.0
2266,"12,10,9,6","3,0,2,2,2,1,1,2",4,4,spatial-span-recall,20,32823,0.0-3.0-1.0-1.1
2275,"4,3,6","1,0,0,3,1,2",3,3,spatial-span-recall,32,110764,0.0-5.0-1.0
3415,"12,3,9,0","3,0,0,3,2,1,0,0",4,4,spatial-span-recall,46,123659,0.0-5.0-1.1
3008,"1,7,13,11,8","0,1,1,3,3,1,2,3,3,0",4,5,spatial-span-recall,63,137575,0.0-5.0-1.2
2145,"7,10,13,8","1,3,2,2,3,1,2,0",4,4,spatial-span-recall,77,148580,0.0-5.0-1.3
2781,"10,9,0,1,6","2,2,2,1,0,0,0,1,1,2",5,5,spatial-span-recall,94,162477,0.0-5.0-1.4
2075,"8,13,2","2,0,3,1,0,2",3,3,spatial-span-recall,105,172003,0.0-5.0-1.5
